# extern_census.tsv — GENERATED by scripts/extract/gen_extern_census.sh.
# Oracle: leanprover/lean4 v4.32.0 commit 8c9756b28d64dab099da31a4c09229a9e6a2ef35 (verified against SUITE.lock).
# Pin-verified environment walk over the full `Lean` import closure
# (plan Appendix C). Regenerate with the script; never edit by hand (Rule D5).
schema fln-extern-census/1
extern_count	954
constant_count	204543
columns	name	kind	module	arity	level_params	entries
extern	Float32.log10	opaque	Init.Data.Float32	1	0	standard:all:log10f
extern	Float32.log2	opaque	Init.Data.Float32	1	0	standard:all:log2f
extern	Float32.mul	opaque	Init.Data.Float32	2	0	standard:all:lean_float32_mul
extern	Float32.neg	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_negate
extern	Float32.ofBits	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_of_bits
extern	Float32.pow	opaque	Init.Data.Float32	2	0	standard:all:powf
extern	Float32.round	opaque	Init.Data.Float32	1	0	standard:all:roundf
extern	Float32.scaleB	opaque	Init.Data.Float32	2	0	standard:all:lean_float32_scaleb
extern	Float32.sin	opaque	Init.Data.Float32	1	0	standard:all:sinf
extern	Float32.sinh	opaque	Init.Data.Float32	1	0	standard:all:sinhf
extern	Float32.sqrt	opaque	Init.Data.Float32	1	0	standard:all:sqrtf
extern	Float32.sub	opaque	Init.Data.Float32	2	0	standard:all:lean_float32_sub
extern	Float32.tan	opaque	Init.Data.Float32	1	0	standard:all:tanf
extern	Float32.tanh	opaque	Init.Data.Float32	1	0	standard:all:tanhf
extern	Float32.toBits	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_to_bits
extern	Float32.toFloat	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_to_float
extern	Float32.toISize	opaque	Init.Data.SInt.Float32	1	0	standard:all:lean_float32_to_isize
extern	Float32.toInt16	opaque	Init.Data.SInt.Float32	1	0	standard:all:lean_float32_to_int16
extern	Float32.toInt32	opaque	Init.Data.SInt.Float32	1	0	standard:all:lean_float32_to_int32
extern	Float32.toInt64	opaque	Init.Data.SInt.Float32	1	0	standard:all:lean_float32_to_int64
extern	Float32.toInt8	opaque	Init.Data.SInt.Float32	1	0	standard:all:lean_float32_to_int8
extern	Float32.toString	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_to_string
extern	Float32.toUInt16	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_to_uint16
extern	Float32.toUInt32	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_to_uint32
extern	Float32.toUInt64	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_to_uint64
extern	Float32.toUInt8	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_to_uint8
extern	Float32.toUSize	opaque	Init.Data.Float32	1	0	standard:all:lean_float32_to_usize
extern	FloatArray.data	defn	Init.Data.FloatArray.Basic	1	0	standard:all:lean_float_array_data
extern	FloatArray.emptyWithCapacity	defn	Init.Data.FloatArray.Basic	1	0	standard:all:lean_mk_empty_float_array
extern	FloatArray.get	defn	Init.Data.FloatArray.Basic	3	0	standard:all:lean_float_array_fget
extern	FloatArray.get!	defn	Init.Data.FloatArray.Basic	2	0	standard:all:lean_float_array_get
extern	FloatArray.mk	ctor	Init.Data.FloatArray.Basic	1	0	standard:all:lean_float_array_mk
extern	FloatArray.push	defn	Init.Data.FloatArray.Basic	2	0	standard:all:lean_float_array_push
extern	FloatArray.set	defn	Init.Data.FloatArray.Basic	4	0	standard:all:lean_float_array_fset
extern	FloatArray.set!	defn	Init.Data.FloatArray.Basic	3	0	standard:all:lean_float_array_set
extern	FloatArray.size	defn	Init.Data.FloatArray.Basic	1	0	standard:all:lean_float_array_size
extern	FloatArray.uget	defn	Init.Data.FloatArray.Basic	3	0	standard:all:lean_float_array_uget
extern	FloatArray.uset	defn	Init.Data.FloatArray.Basic	4	0	standard:all:lean_float_array_uset
extern	FloatArray.usize	defn	Init.Data.FloatArray.Basic	1	0	standard:all:lean_sarray_size
extern	IO.FS.Handle.flush	opaque	Init.System.IO	1	0	standard:all:lean_io_prim_handle_flush
extern	IO.FS.Handle.getLine	opaque	Init.System.IO	1	0	standard:all:lean_io_prim_handle_get_line
extern	IO.FS.Handle.isTty	opaque	Init.System.IO	1	0	standard:all:lean_io_prim_handle_is_tty
extern	IO.FS.Handle.lock	opaque	Init.System.IO	2	0	standard:all:lean_io_prim_handle_lock
extern	IO.FS.Handle.mk	opaque	Init.System.IO	2	0	standard:all:lean_io_prim_handle_mk
extern	IO.FS.Handle.putStr	opaque	Init.System.IO	2	0	standard:all:lean_io_prim_handle_put_str
extern	IO.FS.Handle.read	opaque	Init.System.IO	2	0	standard:all:lean_io_prim_handle_read
extern	IO.FS.Handle.rewind	opaque	Init.System.IO	1	0	standard:all:lean_io_prim_handle_rewind
extern	IO.FS.Handle.truncate	opaque	Init.System.IO	1	0	standard:all:lean_io_prim_handle_truncate
extern	IO.FS.Handle.tryLock	opaque	Init.System.IO	2	0	standard:all:lean_io_prim_handle_try_lock
extern	IO.FS.Handle.unlock	opaque	Init.System.IO	1	0	standard:all:lean_io_prim_handle_unlock
extern	IO.FS.Handle.write	opaque	Init.System.IO	2	0	standard:all:lean_io_prim_handle_write
extern	IO.FS.createDir	opaque	Init.System.IO	1	0	standard:all:lean_io_create_dir
extern	IO.FS.createTempDir	opaque	Init.System.IO	0	0	standard:all:lean_io_create_tempdir
extern	IO.FS.createTempFile	opaque	Init.System.IO	0	0	standard:all:lean_io_create_tempfile
extern	IO.FS.hardLink	opaque	Init.System.IO	2	0	standard:all:lean_io_hard_link
extern	IO.FS.realPath	opaque	Init.System.IO	1	0	standard:all:lean_io_realpath
extern	IO.FS.removeDir	opaque	Init.System.IO	1	0	standard:all:lean_io_remove_dir
extern	IO.FS.removeFile	opaque	Init.System.IO	1	0	standard:all:lean_io_remove_file
extern	IO.FS.rename	opaque	Init.System.IO	2	0	standard:all:lean_io_rename
extern	IO.Prim.setAccessRights	opaque	Init.System.IO	2	0	standard:all:lean_chmod
extern	IO.Process.Child.kill	opaque	Init.System.IO	2	0	standard:all:lean_io_process_child_kill
extern	IO.Process.Child.pid	opaque	Init.System.IO	2	0	standard:all:lean_io_process_child_pid
extern	IO.Process.Child.takeStdin	opaque	Init.System.IO	2	0	standard:all:lean_io_process_child_take_stdin
